SubmissionDate;instanceID;lugar-Latitude;lugar-Longitude;lugar-Altitude;lugar-Accuracy;tipo;tipo/plastico;tipo/vidro;tipo/lata;tipo/papel;tipo/organico;tipo/outro;outro-lixo;tem-mais;tem-mais/plastico;tem-mais/vidro;tem-mais/lata;tem-mais/papel;tem-mais/organico;tem-mais/outro;foto;observacoes;KEY
;uuid:ba70281f-5bb7-4e78-abfe-ea8a9de5b06c;-22.5933465315;-43.4152934141;31;5;plastico papel vidro;1;1;0;1;0;0;;plastico;1;1;0;0;0;0;1571406283345.jpg;;uuid:ba70281f-5bb7-4e78-abfe-ea8a9de5b06c
;uuid:bb21b38a-cdc3-4568-9dfb-8722e9bf4450;-22.5924488716;-43.4146191739;28;4.5;organico;0;0;0;0;1;0;;organico;0;0;0;0;1;0;1571407393745.jpg;;uuid:bb21b38a-cdc3-4568-9dfb-8722e9bf4450
;uuid:be81dab0-8bfe-4d60-8cf3-f412ca0c4677;-22.5972820027;-43.4250761848;52;4.5;plastico outro;1;0;0;0;0;1;Queimada;outro;1;0;0;0;0;1;1571406536177.jpg;;uuid:be81dab0-8bfe-4d60-8cf3-f412ca0c4677
;uuid:bfbffa43-5df1-481d-b916-aae252639ea6;-22.59536892;-43.41827614;19.268371582;4.288;plastico;1;0;0;0;0;0;;plastico;1;0;0;0;0;0;1571404430581.jpg;;uuid:bfbffa43-5df1-481d-b916-aae252639ea6
;uuid:c230a774-c971-4b80-b93c-7b41083fea4a;-22.5935820211;-43.4198249225;18;4.5;lata plastico papel;1;0;1;1;0;0;;papel;1;0;1;1;0;0;1571402743959.jpg;;uuid:c230a774-c971-4b80-b93c-7b41083fea4a
;uuid:c250cff0-0445-4616-8439-f0a96f15191b;-22.5961326761;-43.419607915;25;4.5;outro;0;0;0;0;0;1;Entulho;outro;0;0;0;0;0;1;1571403335633.jpg;;uuid:c250cff0-0445-4616-8439-f0a96f15191b
;uuid:e8521697-bf70-4ec1-8ff3-b13895e91ac8;-22.5952711003;-43.4184342809;22;4.5;plastico papel;1;0;0;1;0;0;;plastico;1;0;0;1;0;0;1571404451392.jpg;;uuid:e8521697-bf70-4ec1-8ff3-b13895e91ac8
;uuid:eb49b824-dd1e-41a2-ab35-af1e89ec5744;-22.591248164;-43.4177809954;36;6;plastico;1;0;0;0;0;0;;plastico;1;0;0;0;0;0;1571403183499.jpg;Plástico;uuid:eb49b824-dd1e-41a2-ab35-af1e89ec5744
;uuid:eb7df0b3-8639-4fd2-a38f-89c2eb8c3a1c;-22.5890153507;-43.4196910635;27;22;plastico;1;0;0;0;0;0;;plastico;1;0;0;0;0;0;1571404113521.jpg;;uuid:eb7df0b3-8639-4fd2-a38f-89c2eb8c3a1c
;uuid:ebdf959d-7f39-4308-b6a4-1cdf20b6d52d;-22.5905279966;-43.4132006745;30.670206354;4.7;plastico vidro lata papel organico;1;1;1;1;1;0;;organico;0;0;0;0;1;0;1571403919239.jpg;Perto do ponto de lixo;uuid:ebdf959d-7f39-4308-b6a4-1cdf20b6d52d
;uuid:ef8eb9bf-badd-45d7-82e6-de5480504fd1;-22.5988722593;-43.4238140378;34;5;outro;0;0;0;0;0;1;Entulho,pedra;outro;0;0;0;0;0;1;1571406277418.jpg;;uuid:ef8eb9bf-badd-45d7-82e6-de5480504fd1
;uuid:f2372741-a90b-47f7-b908-b5c3de9d2650;-22.5890077651;-43.4197053965;16;16;plastico;1;0;0;0;0;0;;plastico;1;0;0;0;0;0;1571403877254.jpg;Lona dentro da Cachoeira;uuid:f2372741-a90b-47f7-b908-b5c3de9d2650
;uuid:f2d42199-9a72-4baf-8f74-1ecd929a9cb0;-22.5932850076;-43.4218690272;33.966577692;4.9;organico lata;0;0;1;0;1;0;;plastico;0;0;0;0;0;0;;;uuid:f2d42199-9a72-4baf-8f74-1ecd929a9cb0
;uuid:f64b29f5-8d09-4651-a414-f7d90c86cd92;-22.5992609281;-43.4218252636;49;4.5;plastico;1;0;0;0;0;0;;plastico;1;0;0;0;0;0;1571405760168.jpg;;uuid:f64b29f5-8d09-4651-a414-f7d90c86cd92
;uuid:f860a1b6-357a-46b9-b27e-737bb85a6b0f;-22.5948912324;-43.4194119461;22;5;outro plastico;1;0;0;0;0;1;Entulho;plastico;1;0;0;0;0;1;1571404582430.jpg;;uuid:f860a1b6-357a-46b9-b27e-737bb85a6b0f
;uuid:fc768d5d-e1e2-485e-9c4f-8e4a7f12ca46;-22.5903942157;-43.4124533739;27;4;organico outro plastico;1;0;0;0;1;1;Entulho;plastico;1;0;0;0;1;1;1571404134899.jpg;;uuid:fc768d5d-e1e2-485e-9c4f-8e4a7f12ca46
;uuid:fdb585e3-9090-4973-a7a7-bbed465c0220;-22.5950948708;-43.4190434776;17;5;plastico;1;0;0;0;0;0;;plastico;1;0;0;0;0;0;1571404537863.jpg;;uuid:fdb585e3-9090-4973-a7a7-bbed465c0220
